ISSN;Título;Área de Avaliação;Estrato
0006-8314;BOUNDARY - LAYER METEOROLOGY;ASTRONOMIA / FÍSICA                               ;B2
0006-8705;BRAGANTIA (SÃO PAULO, SP. IMPRESSO);BIODIVERSIDADE;B2
0006-8705;BRAGANTIA (SÃO PAULO, SP. IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B1
0007-070X;BRITISH FOOD JOURNAL (1966);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0007-1013;BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0007-1145;BRITISH JOURNAL OF NUTRITION;BIODIVERSIDADE;B1
0007-1145;BRITISH JOURNAL OF NUTRITION;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0007-1234;BRITISH JOURNAL OF POLITICAL SCIENCE (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0007-1269;BRITISH JOURNAL OF PSYCHOLOGY (1953);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0007-1595;BULLETIN OF THE BRITISH ORNITHOLOGISTS' CLUB;BIODIVERSIDADE;B3
0007-1595;BULLETIN OF THE BRITISH ORNITHOLOGISTS' CLUB;ANTROPOLOGIA / ARQUEOLOGIA                        ;C 
0007-196X;BRITTONIA (BRONX, N.Y.);BIODIVERSIDADE;B2
0007-196X;BRITTONIA (BRONX);BIODIVERSIDADE;B2
0007-4403;BULLETIN DE PSYCHOLOGIE;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B4
0007-4853;BULLETIN OF ENTOMOLOGICAL RESEARCH;BIODIVERSIDADE;A2
0007-4861;BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY;BIODIVERSIDADE;B2
0007-4977;BULLETIN OF MARINE SCIENCE;BIODIVERSIDADE;B1
0007-5167;BULLETIN OF ZOOLOGICAL NOMENCLATURE;BIODIVERSIDADE;C 
0007-6503;BUSINESS & SOCIETY;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0007-6791;BUSINESS HISTORY;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0007-6813;BUSINESS HORIZONS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0007-9421;CADERNOS DE BIBLIOTECONOMIA, ARQUIVÍSTICA E DOCUMENTAÇÃO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B3
0007-9723;CAHIERS DE BIOLOGIE MARINE;BIODIVERSIDADE;B2
0008-0055;CAHIERS D'ÉTUDES AFRICAINES;ANTROPOLOGIA / ARQUEOLOGIA                        ;A2
0008-347X;CANADIAN ENTOMOLOGIST;BIODIVERSIDADE;B2
0008-4026;CANADIAN JOURNAL OF BOTANY (PRINT) (CESSOU EM 2007. CONT. ISSN 1916-2790 BOTANY (OTTAWA. PRINT));BIODIVERSIDADE;B1
0008-4026;CANADIAN JOURNAL OF BOTANY;BIODIVERSIDADE;B1
0008-4042;CANADIAN JOURNAL OF CHEMISTRY (PRINT);ASTRONOMIA / FÍSICA                               ;B4
0008-4204;CANADIAN JOURNAL OF PHYSICS (PRINT);ASTRONOMIA / FÍSICA                               ;B4
0008-4212;CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY (PRINT);BIODIVERSIDADE;B2
0008-4220;CANADIAN JOURNAL OF PLANT SCIENCE;BIODIVERSIDADE;B1
0008-4301;CANADIAN JOURNAL OF ZOOLOGY (PRINT);BIODIVERSIDADE;A2
0008-6223;CARBON (NEW YORK);ASTRONOMIA / FÍSICA                               ;A1
0008-7114;CARYOLOGIA (FIRENZE);BIODIVERSIDADE;B2
0008-8749;CELLULAR IMMUNOLOGY (PRINT);BIODIVERSIDADE;B2
0008-8846;CEMENT AND CONCRETE RESEARCH;ARQUITETURA, URBANISMO E DESIGN;A1
0009-2509;CHEMICAL ENGINEERING SCIENCE;ASTRONOMIA / FÍSICA                               ;B1
0009-2614;CHEMICAL PHYSICS LETTERS (PRINT);ASTRONOMIA / FÍSICA                               ;B1
0009-2614;CHEMICAL PHYSICS LETTERS;ASTRONOMIA / FÍSICA                               ;B1
0009-2797;CHEMICO-BIOLOGICAL INTERACTIONS (PRINT);BIODIVERSIDADE;B2
0009-2797;CHEMICO-BIOLOGICAL INTERACTIONS;BIODIVERSIDADE;B2
