ISSN;Título;Área de Avaliação;Estrato
1360-0532;JOURNAL OF APPLIED STATISTICS;CIÊNCIAS BIOLÓGICAS III                           ;B5
1360-0532;JOURNAL OF APPLIED STATISTICS;CIÊNCIAS AGRÁRIAS I                               ;B2
1360-0532;JOURNAL OF APPLIED STATISTICS;BIODIVERSIDADE;B3
1360-0826;GLOBAL SOCIETY;CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ;A2
1360-1385;TRENDS IN PLANT SCIENCE;CIÊNCIAS BIOLÓGICAS I                             ;A1
1360-1385;TRENDS IN PLANT SCIENCE;CIÊNCIAS AGRÁRIAS I                               ;A1
1360-1385;TRENDS IN PLANT SCIENCE;BIODIVERSIDADE;A1
1360-2276;TM & IH. TROPICAL MEDICINE AND INTERNATIONAL HEALTH (PRINT);CIÊNCIAS BIOLÓGICAS III                           ;B1
1360-2276;TM & IH. TROPICAL MEDICINE AND INTERNATIONAL HEALTH (PRINT);CIÊNCIAS BIOLÓGICAS II                            ;B1
1360-2276;TM & IH. TROPICAL MEDICINE AND INTERNATIONAL HEALTH (PRINT);CIÊNCIAS BIOLÓGICAS I                             ;B1
1360-2276;TM & IH. TROPICAL MEDICINE AND INTERNATIONAL HEALTH (PRINT);BIOTECNOLOGIA                                     ;B1
1360-2276;TM & IH. TROPICAL MEDICINE AND INTERNATIONAL HEALTH (PRINT);BIODIVERSIDADE;A2
1360-2365;JOURNAL OF ARCHITECTURE (LONDON PRINT);ARQUITETURA, URBANISMO E DESIGN;B3
1360-7863;AGING & MENTAL HEALTH (PRINT);CIÊNCIAS BIOLÓGICAS II                            ;B2
1360-8185;APOPTOSIS (LONDON);CIÊNCIAS BIOLÓGICAS II                            ;A2
1360-8185;APOPTOSIS (LONDON);CIÊNCIAS BIOLÓGICAS I                             ;A2
1360-8185;APOPTOSIS (LONDON);BIOTECNOLOGIA                                     ;A2
1361-1682;TRANSACTIONS IN GIS (PRINT);CIÊNCIAS AMBIENTAIS;A2
1361-1682;TRANSACTIONS IN GIS (PRINT);CIÊNCIAS AGRÁRIAS I                               ;A2
1361-1682;TRANSACTIONS IN GIS (PRINT);CIÊNCIA DA COMPUTAÇÃO                             ;B1
1361-6447;JOURNAL OF PHYSICS. A, MATHEMATICAL AND GENERAL (ONLINE);ASTRONOMIA / FÍSICA                               ;B1
1361-6463;JOURNAL OF APPLIED PHYSICS;BIOTECNOLOGIA                                     ;B1
1361-6463;JOURNAL OF APPLIED PHYSICS;ASTRONOMIA / FÍSICA                               ;B1
1361-648X;JOURNAL OF PHYSICS. CONDENSED MATTER (ONLINE);ASTRONOMIA / FÍSICA                               ;B1
1361-6528;NANOTECHNOLOGY (BRISTOL. ONLINE);CIÊNCIAS BIOLÓGICAS I                             ;A2
1361-6528;NANOTECHNOLOGY (BRISTOL. ONLINE);CIÊNCIAS AGRÁRIAS I                               ;A1
1361-6528;NANOTECHNOLOGY (BRISTOL. ONLINE);ASTRONOMIA / FÍSICA                               ;A2
1361-6579;PHYSIOLOGICAL MEASUREMENT;CIÊNCIAS BIOLÓGICAS III                           ;B3
1361-6579;PHYSIOLOGICAL MEASUREMENT;CIÊNCIAS BIOLÓGICAS II                            ;B3
1361-6579;PHYSIOLOGICAL MEASUREMENT;BIOTECNOLOGIA                                     ;B2
1361-6609;PUBLIC UNDERSTANDING OF SCIENCE;COMUNICAÇÃO E INFORMAÇÃO;A2
1361-6633;REPORTS ON PROGRESS IN PHYSICS (ONLINE);ASTRONOMIA / FÍSICA                               ;A1
1361-8415;MEDICAL IMAGE ANALYSIS (PRINT);CIÊNCIA DA COMPUTAÇÃO                             ;A1
1361-9209;TRANSPORTATION RESEARCH. PART D, TRANSPORT AND ENVIRONMENT;CIÊNCIAS AMBIENTAIS;A2
1362-0436;CAREER DEVELOPMENT INTERNATIONAL;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
1362-1025;CITIZENSHIP STUDIES (ABINGDON. PRINT);CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ;A1
1362-1971;SYSTEMATIC AND APPLIED ACAROLOGY;CIÊNCIAS BIOLÓGICAS I                             ;B3
1362-1971;SYSTEMATIC AND APPLIED ACAROLOGY;CIÊNCIAS AMBIENTAIS;A2
1362-1971;SYSTEMATIC AND APPLIED ACAROLOGY;CIÊNCIAS AGRÁRIAS I                               ;A2
1362-1971;SYSTEMATIC AND APPLIED ACAROLOGY;BIOTECNOLOGIA                                     ;B2
1362-1971;SYSTEMATIC AND APPLIED ACAROLOGY;BIODIVERSIDADE;B1
1362-3060;INTERNATIONAL JOURNAL OF ELECTRONICS (ONLINE);CIÊNCIA DA COMPUTAÇÃO                             ;B1
1362-4393;SPINAL CORD;CIÊNCIAS BIOLÓGICAS III                           ;B3
1362-4393;SPINAL CORD;CIÊNCIAS BIOLÓGICAS II                            ;B3
1362-4962;NUCLEIC ACIDS RESEARCH (ONLINE);CIÊNCIAS BIOLÓGICAS III                           ;A1
1362-4962;NUCLEIC ACIDS RESEARCH (ONLINE);CIÊNCIAS BIOLÓGICAS II                            ;A1
1362-4962;NUCLEIC ACIDS RESEARCH (ONLINE);CIÊNCIAS BIOLÓGICAS I                             ;A1
1362-4962;NUCLEIC ACIDS RESEARCH (ONLINE);CIÊNCIAS AGRÁRIAS I                               ;A1
1362-4962;NUCLEIC ACIDS RESEARCH (ONLINE);BIOTECNOLOGIA                                     ;A1
1362-704X;FASHION THEORY (OXFORD);ARTES;B1
1363-1950;CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE;CIÊNCIAS BIOLÓGICAS II                            ;A2
1363-1950;CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE;CIÊNCIA DE ALIMENTOS                              ;B1
1363-5387;INTERNET ARCHAEOLOGY;ANTROPOLOGIA / ARQUEOLOGIA                        ;B5
1363-9196;INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT;CIÊNCIAS AMBIENTAIS;B1
1363-9196;INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
1364-0321;RENEWABLE & SUSTAINABLE ENERGY REVIEWS;CIÊNCIAS AMBIENTAIS;A1
